Vocabulário de textos sem qualidade

1- Ficheiro 2- MTLD 3- Taxa de Repetição 4- Maturidade 5- Densidade 

--> 794646.female.17.indUnk.Aries(en).txt;96,2008;0,9309;2,6296;0,4052
--> 2155904.male.17.Student.Virgo(en).txt;69,4803;0,9709;9,6276;0,4856
--> 1488330.male.17.Non-Profit.Pisces(en).txt;84,2617;0,9442;4,5765;0,4788
--> Crime ambiental(pt).txt;111,894;0,3155;0,3289;0,3159
--> 823780.male.17.Education.Scorpio(en).txt;99,4328;0,9393;4,3861;0,4787
--> 788927.male.16.Communications-Media.Scorpio(en).txt;68,8682;0,942;4,6793;0,4783
--> 2020102.female.16.Student.Virgo(en).txt;70,9809;0,9358;4,8883;0,4772
--> Portuguese language(en).txt;58,5051;0,5807;1,3745;0,4892
--> A cultura do estupro(pt).txt;131,1684;0,3211;0,2708;0,2833
--> 585884.male.17.indUnk.Sagittarius(en).txt;104,5888;0,9365;4,7411;0,4727
--> 1234631.female.17.indUnk.Aquarius(en).txt;70,5067;0,9639;7,7734;0,4814
--> Aquele velho crime(pt).txt;90,3418;0,4365;0,6832;0,3808
--> 1078410.male.16.indUnk.Cancer(en).txt;97,0583;0,9538;5,3181;0,4894
--> A Midsummer Night's Dream(en).txt;61,3431;0,5813;1,3441;0,4846
--> 1784456.female.16.Student.Aquarius(en).txt;101,4714;0,9558;6,9356;0,4867
--> 1233897.male.17.Technology.Virgo(en).txt;76,54;0,9458;5,5284;0,4719
--> 322624.female.17.Non-Profit.Virgo(en).txt;90,5379;0,9259;4,1944;0,4801
--> A escravidão não foi abolida(pt).txt;73,9026;0,3583;0,1442;0,2802
--> Libertando nações(pt).txt;103,2771;0,25;0,4123;0,3434
--> Indigenous Australians(en).txt;65,0595;0,6084;1,2382;0,4598
--> A arte de ofender(pt).txt;65,3683;0,274;0,6406;0,3081
--> 1093457.male.16.Technology.Virgo(en).txt;70,0204;0,9465;5,8903;0,4975
--> 3839744.female.16.indUnk.Sagittarius(en).txt;106,1627;0,9389;4,6719;0,4749
--> A falácia do mito pós-verdade(pt).txt;110,0262;0,2308;0,4891;0,3416
--> 988941.female.17.Student.Capricorn(en).txt;70,2253;0,9467;5,9035;0,4975
--> Um passado que reflete o presente(pt).txt;106,5242;0,358;0,8088;0,3545
--> 1093691.male.17.Technology.Taurus(en).txt;70,0204;0,9465;5,8903;0,4975
--> As drogas e suas consequências(pt).txt;68,9571;0,3482;0,3548;0,2593
--> 1509245.female.16.indUnk.Pisces(en).txt;89,5961;0,9466;5,1486;0,4721
--> 955372.female.16.Student.Aries(en).txt;63,8212;0,9426;5,4746;0,4914
--> 688869.male.17.LawEnforcement-Security.Cancer(en).txt;78,1359;0,9194;3,544;0,4697
--> Damascus(en).txt;37,7126;0,5449;1,3393;0,4921
--> 892173.female.14.indUnk.Libra(en).txt;76,9869;0,9399;5,0123;0,5036
--> O peso da pós-verdade na sociedade pós-moderna(pt).txt;156,6798;0,2235;0,3478;0,3314
--> 3645055.female.14.Education.Aquarius(en).txt;62,13;0,9721;9,0821;0,4302
--> 886530.male.17.indUnk.Virgo(en).txt;79,5907;0,9437;5,0507;0,4853
